conversation_id,conversation_label,baseline_id,backend,mode,turn_index,speaker,SGI,SGI_clipped,Velocity,d_SGI,d_Velocity,phase,manifold_distance,on_manifold,top_symbol,symbol_confidence
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,44,AI,0.426407004678618,0.426407004678618,13.387929677740097,-0.7690209037693811,-27.219362992460773,T,0.9136052884417842,1,introspection,0.2576603800045664
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,45,User,0.2514795989349917,0.2514795989349917,7.747623316496072,-0.17492740574362625,-5.640306361244025,T,1.1100168083221247,1,contentment,0.20585982862885469
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,0,AI,1.0,1.0,0.0,0.0,0.0,T,1.335444970341207,1,introspection,0.2730713128472252
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,1,User,1.0,1.0,20.08311915890824,0.0,20.08311915890824,T,0.6686876117760366,1,curiosity,0.3159807545197115
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,2,AI,1.0937757282639828,1.0937757282639828,27.25574848398931,0.09377572826398284,7.172629325081072,T,0.43182326423114015,1,introspection,0.30615749781630336
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,3,User,1.8010605777250284,1.8010605777250284,36.58715341220436,0.7072848494610455,9.331404928215047,G,0.3070175110795708,1,introspection,0.19394587879051833
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,4,AI,2.1863358077304995,2.1863358077304995,27.414008207434346,0.38527523000547115,-9.173145204770012,G,0.5963510663197206,1,introspection,0.2240334525706511
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,5,User,1.9639638545845803,1.9639638545845803,17.198462294747753,-0.22237195314591918,-10.215545912686594,G,0.8365257555476644,1,tension,0.19696921647216686
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,6,AI,1.7457837243210612,1.7457837243210612,16.122019648446827,-0.21818013026351912,-1.0764426463009258,G,0.8422435016945842,1,introspection,0.23883800016826787
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,7,User,0.9839657114562099,0.9839657114562099,28.72117723522734,-0.7618180128648513,12.599157586780514,T,0.3819468212173842,1,clarity,0.20357892127223337
